0,133.3806,0,131.3244,
1,133.4246,0.00933588,133.3239,
2,133.4685,0.01867176,135.3234,
3,133.5125,0.02800764,137.3229,
4,133.5564,0.03734352,139.3224,
5,133.6004,0.0466794,141.3219,
6,133.6443,0.05601528,143.3214,
7,133.6883,0.06535116,145.3209,
8,133.7322,0.07468705,147.3204,
9,133.7762,0.08402292,149.3199,
10,133.8201,0.09335881,151.3194,
11,133.864,0.1026947,153.3189,
12,133.908,0.1120306,155.3184,
13,133.952,0.1213664,157.3179,
14,133.9959,0.1307023,159.3174,
15,134.0399,0.1400382,161.3169,
16,134.0838,0.1493741,163.3164,
17,134.1277,0.15871,165.3159,
18,134.1717,0.1680458,167.3154,
19,134.2156,0.1773817,169.3148,
20,134.2596,0.1867176,171.3143,
21,134.3035,0.1960535,173.3138,
22,134.3475,0.2053894,175.3133,
23,134.3914,0.2147253,177.3128,
24,134.4354,0.2240611,179.3123,
25,134.4793,0.233397,181.3118,
26,134.5233,0.2427329,183.3113,
27,134.5672,0.2520688,185.3108,
28,134.6112,0.2614047,187.3103,
29,134.6551,0.2707405,189.3098,
30,134.6991,0.2800764,191.3093,
31,134.743,0.2894123,193.3088,
32,134.787,0.2987482,195.3083,
33,134.8309,0.3080841,197.3078,
34,134.8749,0.3174199,199.3073,
35,134.9248,0.3321981,201.3048,
36,135.0321,0.3988934,203.2834,
37,135.3083,0.6188356,205.2064,
38,135.8082,1.041437,207.0557,
39,136.4472,1.590073,208.8592,
40,137.1194,2.168859,210.6517,
41,137.7916,2.747643,212.4442,
42,138.4638,3.326428,214.2368,
43,139.136,3.905213,216.0293,
44,139.8082,4.483998,217.8218,
45,140.4804,5.062783,219.6143,
46,141.1526,5.641568,221.4069,
47,141.8248,6.220353,223.1994,
48,142.497,6.799138,224.9919,
49,143.1692,7.377923,226.7845,
50,143.8414,7.956709,228.577,
51,144.5136,8.535494,230.3695,
52,145.1858,9.114279,232.162,
53,145.858,9.693064,233.9546,
54,146.5302,10.27185,235.7471,
55,147.2024,10.85063,237.5396,
56,147.8745,11.42942,239.3322,
57,148.5468,12.0082,241.1247,
58,149.227,12.54843,242.9184,
59,149.9407,12.92696,244.717,
60,150.7087,13.04434,246.5237,
61,151.518,12.96277,248.3365,
62,152.3415,12.81283,250.1513,
63,153.1666,12.65545,251.9664,
64,153.9916,12.49806,253.7815,
65,154.8167,12.34068,255.5966,
66,155.6417,12.1833,257.4117,
